month,product_line,channel,cases_sold,avg_price_per_case_eur,revenue_eur
2024-06,Hasetal Sloe Gin (Saison),Gastronomie (On-Premise),35,27.37,958.1
2024-07,Hasetal Sloe Gin (Saison),Gastronomie (On-Premise),39,26.51,1034.04
2024-08,Hasetal Sloe Gin (Saison),Gastronomie (On-Premise),38,26.69,1014.14
2024-09,Hasetal Sloe Gin (Saison),Gastronomie (On-Premise),75,27.54,2065.22
2024-10,Hasetal Sloe Gin (Saison),Gastronomie (On-Premise),83,26.0,2157.78
2024-11,Hasetal Sloe Gin (Saison),Gastronomie (On-Premise),189,25.42,4804.15
2024-12,Hasetal Sloe Gin (Saison),Gastronomie (On-Premise),154,27.48,4231.39
2025-01,Hasetal Sloe Gin (Saison),Gastronomie (On-Premise),72,26.5,1907.68
2025-02,Hasetal Sloe Gin (Saison),Gastronomie (On-Premise),68,26.6,1808.85
2025-03,Hasetal Sloe Gin (Saison),Gastronomie (On-Premise),64,27.69,1772.04
2025-04,Hasetal Sloe Gin (Saison),Gastronomie (On-Premise),69,26.44,1824.27
2025-05,Hasetal Sloe Gin (Saison),Gastronomie (On-Premise),71,27.25,1934.67
2025-06,Hasetal Sloe Gin (Saison),Gastronomie (On-Premise),35,27.51,962.85
2025-07,Hasetal Sloe Gin (Saison),Gastronomie (On-Premise),30,26.55,796.39
2025-08,Hasetal Sloe Gin (Saison),Gastronomie (On-Premise),34,27.49,934.81
2025-09,Hasetal Sloe Gin (Saison),Gastronomie (On-Premise),62,27.1,1679.89
2025-10,Hasetal Sloe Gin (Saison),Gastronomie (On-Premise),69,26.52,1829.94
2025-11,Hasetal Sloe Gin (Saison),Gastronomie (On-Premise),140,26.84,3757.07
2025-12,Hasetal Sloe Gin (Saison),Gastronomie (On-Premise),129,27.89,3597.81
2024-01,Hasetal Sloe Gin (Saison),DTC Online,58,31.81,1844.85
2024-02,Hasetal Sloe Gin (Saison),DTC Online,63,31.07,1957.38
2024-03,Hasetal Sloe Gin (Saison),DTC Online,63,30.76,1937.94
2024-04,Hasetal Sloe Gin (Saison),DTC Online,63,30.93,1948.51
2024-05,Hasetal Sloe Gin (Saison),DTC Online,65,31.6,2054.29
2024-06,Hasetal Sloe Gin (Saison),DTC Online,31,33.0,1022.97
2024-07,Hasetal Sloe Gin (Saison),DTC Online,32,29.92,957.41
2024-08,Hasetal Sloe Gin (Saison),DTC Online,41,31.79,1303.28
2024-09,Hasetal Sloe Gin (Saison),DTC Online,81,31.64,2562.46
2024-10,Hasetal Sloe Gin (Saison),DTC Online,80,30.21,2417.14
2024-11,Hasetal Sloe Gin (Saison),DTC Online,186,30.42,5657.98
2024-12,Hasetal Sloe Gin (Saison),DTC Online,210,30.91,6491.73
2025-01,Hasetal Sloe Gin (Saison),DTC Online,85,30.75,2613.8
2025-02,Hasetal Sloe Gin (Saison),DTC Online,99,30.52,3021.96
2025-03,Hasetal Sloe Gin (Saison),DTC Online,93,31.28,2908.76
2025-04,Hasetal Sloe Gin (Saison),DTC Online,107,30.58,3271.82
2025-05,Hasetal Sloe Gin (Saison),DTC Online,105,31.27,3282.95
2025-06,Hasetal Sloe Gin (Saison),DTC Online,50,29.74,1486.95
2025-07,Hasetal Sloe Gin (Saison),DTC Online,56,30.85,1727.67
2025-08,Hasetal Sloe Gin (Saison),DTC Online,64,32.42,2075.15
2025-09,Hasetal Sloe Gin (Saison),DTC Online,140,30.9,4326.14
2025-10,Hasetal Sloe Gin (Saison),DTC Online,136,30.12,4095.8
2025-11,Hasetal Sloe Gin (Saison),DTC Online,312,30.78,9603.71
2025-12,Hasetal Sloe Gin (Saison),DTC Online,336,30.28,10173.89
2024-01,Hasetal Sloe Gin (Saison),Hofladen/Tasting Room,83,28.26,2345.37
2024-02,Hasetal Sloe Gin (Saison),Hofladen/Tasting Room,77,28.01,2156.67
2024-03,Hasetal Sloe Gin (Saison),Hofladen/Tasting Room,72,28.43,2047.18
2024-04,Hasetal Sloe Gin (Saison),Hofladen/Tasting Room,71,28.77,2042.92
2024-05,Hasetal Sloe Gin (Saison),Hofladen/Tasting Room,80,30.18,2414.5
2024-06,Hasetal Sloe Gin (Saison),Hofladen/Tasting Room,38,28.51,1083.23
2024-07,Hasetal Sloe Gin (Saison),Hofladen/Tasting Room,35,27.64,967.25
2024-08,Hasetal Sloe Gin (Saison),Hofladen/Tasting Room,29,27.9,809.18
2024-09,Hasetal Sloe Gin (Saison),Hofladen/Tasting Room,72,28.64,2062.13
2024-10,Hasetal Sloe Gin (Saison),Hofladen/Tasting Room,81,27.86,2256.61
2024-11,Hasetal Sloe Gin (Saison),Hofladen/Tasting Room,162,27.23,4410.8
2024-12,Hasetal Sloe Gin (Saison),Hofladen/Tasting Room,182,27.95,5087.08
2025-01,Hasetal Sloe Gin (Saison),Hofladen/Tasting Room,78,28.25,2203.7
2025-02,Hasetal Sloe Gin (Saison),Hofladen/Tasting Room,63,27.84,1753.93
2025-03,Hasetal Sloe Gin (Saison),Hofladen/Tasting Room,72,27.97,2013.64
2025-04,Hasetal Sloe Gin (Saison),Hofladen/Tasting Room,66,28.23,1863.11
2025-05,Hasetal Sloe Gin (Saison),Hofladen/Tasting Room,76,28.96,2200.6
2025-06,Hasetal Sloe Gin (Saison),Hofladen/Tasting Room,30,29.44,883.1
2025-07,Hasetal Sloe Gin (Saison),Hofladen/Tasting Room,34,29.67,1008.75
2025-08,Hasetal Sloe Gin (Saison),Hofladen/Tasting Room,40,28.41,1136.3
2025-09,Hasetal Sloe Gin (Saison),Hofladen/Tasting Room,87,28.14,2448.03
2025-10,Hasetal Sloe Gin (Saison),Hofladen/Tasting Room,78,29.51,2302.09
2025-11,Hasetal Sloe Gin (Saison),Hofladen/Tasting Room,165,29.25,4826.28
2025-12,Hasetal Sloe Gin (Saison),Hofladen/Tasting Room,137,26.62,3646.34
2024-01,Alte Sorte Obstbrand,Fachhandel (Distributor),246,15.53,3819.69
2024-02,Alte Sorte Obstbrand,Fachhandel (Distributor),277,15.23,4219.76
2024-03,Alte Sorte Obstbrand,Fachhandel (Distributor),271,14.57,3948.65
2024-04,Alte Sorte Obstbrand,Fachhandel (Distributor),194,15.17,2943.89
2024-05,Alte Sorte Obstbrand,Fachhandel (Distributor),229,15.19,3477.39
2024-06,Alte Sorte Obstbrand,Fachhandel (Distributor),175,15.16,2652.89
2024-07,Alte Sorte Obstbrand,Fachhandel (Distributor),183,15.51,2837.48
2024-08,Alte Sorte Obstbrand,Fachhandel (Distributor),208,14.77,3072.45
2024-09,Alte Sorte Obstbrand,Fachhandel (Distributor),186,14.72,2737.36
2024-10,Alte Sorte Obstbrand,Fachhandel (Distributor),187,15.64,2923.85
2024-11,Alte Sorte Obstbrand,Fachhandel (Distributor),166,15.43,2561.35
2024-12,Alte Sorte Obstbrand,Fachhandel (Distributor),168,14.84,2492.86
2025-01,Alte Sorte Obstbrand,Fachhandel (Distributor),169,14.73,2489.02
2025-02,Alte Sorte Obstbrand,Fachhandel (Distributor),157,14.65,2300.64
2025-03,Alte Sorte Obstbrand,Fachhandel (Distributor),189,15.22,2875.84
2025-04,Alte Sorte Obstbrand,Fachhandel (Distributor),146,15.3,2233.45
2025-05,Alte Sorte Obstbrand,Fachhandel (Distributor),149,15.1,2249.79
2025-06,Alte Sorte Obstbrand,Fachhandel (Distributor),154,15.55,2394.0
2025-07,Alte Sorte Obstbrand,Fachhandel (Distributor),134,14.94,2001.62
2025-08,Alte Sorte Obstbrand,Fachhandel (Distributor),133,14.15,1881.99
2025-09,Alte Sorte Obstbrand,Fachhandel (Distributor),114,15.82,1803.86
2025-10,Alte Sorte Obstbrand,Fachhandel (Distributor),147,15.09,2217.71
2025-11,Alte Sorte Obstbrand,Fachhandel (Distributor),130,15.34,1994.45
2025-12,Alte Sorte Obstbrand,Fachhandel (Distributor),153,15.71,2403.71
2024-01,Alte Sorte Obstbrand,Gastronomie (On-Premise),136,18.46,2509.93
2024-02,Alte Sorte Obstbrand,Gastronomie (On-Premise),114,19.12,2179.22
2024-03,Alte Sorte Obstbrand,Gastronomie (On-Premise),121,18.19,2200.91
2024-04,Alte Sorte Obstbrand,Gastronomie (On-Premise),118,18.38,2169.26
2024-05,Alte Sorte Obstbrand,Gastronomie (On-Premise),140,19.5,2730.35
2024-06,Alte Sorte Obstbrand,Gastronomie (On-Premise),117,19.84,2321.7
2024-07,Alte Sorte Obstbrand,Gastronomie (On-Premise),115,18.51,2128.54
2024-08,Alte Sorte Obstbrand,Gastronomie (On-Premise),125,19.31,2413.4
2024-09,Alte Sorte Obstbrand,Gastronomie (On-Premise),97,18.89,1832.48
2024-10,Alte Sorte Obstbrand,Gastronomie (On-Premise),95,18.21,1730.12
2024-11,Alte Sorte Obstbrand,Gastronomie (On-Premise),108,20.09,2169.54
2024-12,Alte Sorte Obstbrand,Gastronomie (On-Premise),85,19.32,1642.28
2025-01,Alte Sorte Obstbrand,Gastronomie (On-Premise),88,18.72,1647.57
2025-02,Alte Sorte Obstbrand,Gastronomie (On-Premise),86,18.51,1591.65
2025-03,Alte Sorte Obstbrand,Gastronomie (On-Premise),88,18.53,1630.32
2025-04,Alte Sorte Obstbrand,Gastronomie (On-Premise),87,18.97,1650.51
2025-05,Alte Sorte Obstbrand,Gastronomie (On-Premise),81,18.48,1497.1
2025-06,Alte Sorte Obstbrand,Gastronomie (On-Premise),76,19.43,1476.72
2025-07,Alte Sorte Obstbrand,Gastronomie (On-Premise),81,18.44,1493.87
2025-08,Alte Sorte Obstbrand,Gastronomie (On-Premise),75,19.43,1457.12
2025-09,Alte Sorte Obstbrand,Gastronomie (On-Premise),62,19.31,1197.2
2025-10,Alte Sorte Obstbrand,Gastronomie (On-Premise),66,19.33,1275.47
2025-11,Alte Sorte Obstbrand,Gastronomie (On-Premise),63,17.97,1132.19
2025-12,Alte Sorte Obstbrand,Gastronomie (On-Premise),56,19.03,1065.53
2024-01,Alte Sorte Obstbrand,DTC Online,92,21.26,1955.66
2024-02,Alte Sorte Obstbrand,DTC Online,98,20.76,2034.57
2024-03,Alte Sorte Obstbrand,DTC Online,94,21.06,1979.28
2024-04,Alte Sorte Obstbrand,DTC Online,92,21.88,2013.06
2024-05,Alte Sorte Obstbrand,DTC Online,92,21.6,1987.01
2024-06,Alte Sorte Obstbrand,DTC Online,112,21.47,2404.85
2024-07,Alte Sorte Obstbrand,DTC Online,113,21.11,2385.37
2024-08,Alte Sorte Obstbrand,DTC Online,113,22.79,2575.83
2024-09,Alte Sorte Obstbrand,DTC Online,86,21.33,1834.18
2024-10,Alte Sorte Obstbrand,DTC Online,119,21.72,2584.31
2024-11,Alte Sorte Obstbrand,DTC Online,120,21.45,2574.49
2024-12,Alte Sorte Obstbrand,DTC Online,121,21.75,2631.5
2025-01,Alte Sorte Obstbrand,DTC Online,136,22.02,2994.28
2025-02,Alte Sorte Obstbrand,DTC Online,130,21.58,2805.4
2025-03,Alte Sorte Obstbrand,DTC Online,124,21.57,2674.24
2025-04,Alte Sorte Obstbrand,DTC Online,137,21.57,2955.64
2025-05,Alte Sorte Obstbrand,DTC Online,140,23.21,3249.46
2025-06,Alte Sorte Obstbrand,DTC Online,151,21.64,3267.08
2025-07,Alte Sorte Obstbrand,DTC Online,159,21.58,3431.62
2025-08,Alte Sorte Obstbrand,DTC Online,120,21.19,2542.7
2025-09,Alte Sorte Obstbrand,DTC Online,126,21.62,2724.07
2025-10,Alte Sorte Obstbrand,DTC Online,155,22.95,3557.08
2025-11,Alte Sorte Obstbrand,DTC Online,164,21.71,3559.85
2025-12,Alte Sorte Obstbrand,DTC Online,175,20.4,3570.11
2024-01,Alte Sorte Obstbrand,Hofladen/Tasting Room,129,19.07,2459.39
2024-02,Alte Sorte Obstbrand,Hofladen/Tasting Room,124,19.7,2442.98
2024-03,Alte Sorte Obstbrand,Hofladen/Tasting Room,141,20.06,2828.3
2024-04,Alte Sorte Obstbrand,Hofladen/Tasting Room,109,19.44,2119.11
2024-05,Alte Sorte Obstbrand,Hofladen/Tasting Room,105,19.99,2099.25
2024-06,Alte Sorte Obstbrand,Hofladen/Tasting Room,113,20.15,2276.92
2024-07,Alte Sorte Obstbrand,Hofladen/Tasting Room,105,19.79,2077.79
2024-08,Alte Sorte Obstbrand,Hofladen/Tasting Room,99,20.18,1997.41
2024-09,Alte Sorte Obstbrand,Hofladen/Tasting Room,97,20.47,1985.63
2024-10,Alte Sorte Obstbrand,Hofladen/Tasting Room,109,21.07,2296.99
2024-11,Alte Sorte Obstbrand,Hofladen/Tasting Room,87,18.89,1643.03
2024-12,Alte Sorte Obstbrand,Hofladen/Tasting Room,107,19.92,2131.09
2025-01,Alte Sorte Obstbrand,Hofladen/Tasting Room,87,21.41,1863.0
2025-02,Alte Sorte Obstbrand,Hofladen/Tasting Room,96,20.38,1956.9
2025-03,Alte Sorte Obstbrand,Hofladen/Tasting Room,96,19.48,1869.78
2025-04,Alte Sorte Obstbrand,Hofladen/Tasting Room,108,20.76,2241.57
2025-05,Alte Sorte Obstbrand,Hofladen/Tasting Room,88,19.36,1703.48
2025-06,Alte Sorte Obstbrand,Hofladen/Tasting Room,88,20.6,1813.23
2025-07,Alte Sorte Obstbrand,Hofladen/Tasting Room,95,19.86,1886.27
2025-08,Alte Sorte Obstbrand,Hofladen/Tasting Room,77,18.96,1459.89
2025-09,Alte Sorte Obstbrand,Hofladen/Tasting Room,85,19.18,1630.13
2025-10,Alte Sorte Obstbrand,Hofladen/Tasting Room,77,20.95,1613.07
2025-11,Alte Sorte Obstbrand,Hofladen/Tasting Room,69,19.8,1366.4
2025-12,Alte Sorte Obstbrand,Hofladen/Tasting Room,60,19.92,1195.05
2025-03,Hasetal Alkoholfrei Botanical,Fachhandel (Distributor),81,15.11,1223.84
2025-04,Hasetal Alkoholfrei Botanical,Fachhandel (Distributor),107,15.3,1637.12
2025-05,Hasetal Alkoholfrei Botanical,Fachhandel (Distributor),97,14.31,1387.94
2025-06,Hasetal Alkoholfrei Botanical,Fachhandel (Distributor),133,14.83,1971.9
2025-07,Hasetal Alkoholfrei Botanical,Fachhandel (Distributor),116,14.79,1715.56
2025-08,Hasetal Alkoholfrei Botanical,Fachhandel (Distributor),126,14.74,1856.72
2025-09,Hasetal Alkoholfrei Botanical,Fachhandel (Distributor),124,14.56,1805.09
2025-10,Hasetal Alkoholfrei Botanical,Fachhandel (Distributor),138,14.56,2009.1
2025-11,Hasetal Alkoholfrei Botanical,Fachhandel (Distributor),136,14.85,2019.23
2025-12,Hasetal Alkoholfrei Botanical,Fachhandel (Distributor),148,15.47,2289.23
2025-03,Hasetal Alkoholfrei Botanical,Gastronomie (On-Premise),35,19.11,668.7
2025-04,Hasetal Alkoholfrei Botanical,Gastronomie (On-Premise),56,17.35,971.56
2025-05,Hasetal Alkoholfrei Botanical,Gastronomie (On-Premise),53,18.29,969.57
2025-06,Hasetal Alkoholfrei Botanical,Gastronomie (On-Premise),52,18.07,939.55
2025-07,Hasetal Alkoholfrei Botanical,Gastronomie (On-Premise),57,19.47,1109.93
2025-08,Hasetal Alkoholfrei Botanical,Gastronomie (On-Premise),73,19.21,1402.02
2025-09,Hasetal Alkoholfrei Botanical,Gastronomie (On-Premise),76,17.87,1358.38
2025-10,Hasetal Alkoholfrei Botanical,Gastronomie (On-Premise),72,18.77,1351.56
2025-11,Hasetal Alkoholfrei Botanical,Gastronomie (On-Premise),71,18.9,1341.6
2025-12,Hasetal Alkoholfrei Botanical,Gastronomie (On-Premise),81,18.29,1481.65
2025-03,Hasetal Alkoholfrei Botanical,DTC Online,71,21.56,1530.66
2025-04,Hasetal Alkoholfrei Botanical,DTC Online,75,22.01,1651.12
2025-05,Hasetal Alkoholfrei Botanical,DTC Online,81,21.67,1755.12
2025-06,Hasetal Alkoholfrei Botanical,DTC Online,109,21.08,2297.44
2025-07,Hasetal Alkoholfrei Botanical,DTC Online,121,20.48,2477.65
2025-08,Hasetal Alkoholfrei Botanical,DTC Online,144,21.16,3046.61
2025-09,Hasetal Alkoholfrei Botanical,DTC Online,142,21.94,3116.12
2025-10,Hasetal Alkoholfrei Botanical,DTC Online,156,20.38,3178.66
2025-11,Hasetal Alkoholfrei Botanical,DTC Online,160,21.66,3465.89
2025-12,Hasetal Alkoholfrei Botanical,DTC Online,182,22.39,4075.89
2025-03,Hasetal Alkoholfrei Botanical,Hofladen/Tasting Room,53,19.55,1036.04
2025-04,Hasetal Alkoholfrei Botanical,Hofladen/Tasting Room,51,19.66,1002.54
2025-05,Hasetal Alkoholfrei Botanical,Hofladen/Tasting Room,65,19.49,1266.95
2025-06,Hasetal Alkoholfrei Botanical,Hofladen/Tasting Room,63,19.39,1221.68
2025-07,Hasetal Alkoholfrei Botanical,Hofladen/Tasting Room,60,18.64,1118.36
2025-08,Hasetal Alkoholfrei Botanical,Hofladen/Tasting Room,79,19.32,1526.1
2025-09,Hasetal Alkoholfrei Botanical,Hofladen/Tasting Room,85,19.11,1624.39
2025-10,Hasetal Alkoholfrei Botanical,Hofladen/Tasting Room,88,18.85,1659.23
2025-11,Hasetal Alkoholfrei Botanical,Hofladen/Tasting Room,80,20.02,1601.98
2025-12,Hasetal Alkoholfrei Botanical,Hofladen/Tasting Room,103,20.0,2059.76
